FoodID;FoodName;EnglishFoodName;FoodGroupID;FoodGroupName;FoodSubGroup;FoodSubSubGroup;203;204;205;208;291;601;255;269;810;301;304;305;306;307;303;309;312;315;317;606;645;646;617;618;619;620;629;621;319;321;339;401;404;405;406;410;415;417;418;3000;4000;4001;501;502;503;504;505;506;508;512;510
20085;Poivron vert, cru;Sweet pepper, green, raw;1;Fruits et légumes;légumes;légumes crus;0.81;0.5;3.43;26;3.2;0;93;3;0.35;6.2;7.7;17;160;5;0.22;0.11;0.04;0.07;20;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;154;0;26.9;0.015;0.01;0.3;0.11;0.21;55.1;0;20;0.28;0.8;0.012;0.036;0.024;0.036;0.039;0.007;0.092;0.01;0.036
20087;Poivron rouge, cru;Sweet pepper, red, raw;1;Fruits et légumes;légumes;légumes crus;1.06;0.5;5.98;36.6;3.2;0;90.2;4.8;0.35;4.8;8.2;19;180;5;0.21;0.14;0.04;0.08;20;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;554;0;121;0.036;0.11;0.34;0.18;0.31;81.8;0;20;3.45;3.16;0.012;0.04;0.021;0.036;0.036;0.006;0.05;0.017;0.031
20089;Radis noir, cru;Radish, black;1;Fruits et légumes;légumes;légumes crus;0.94;0.3;5.52;29.2;1.2;0;91.4;4.3;0.35;39;10;32;300;23;0.23;0.15;0.01;0.06;20;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;5;0;9.58;0.021;0.016;0.23;0.14;0.077;17.3;0;20;0.08;0.8;0.009;0.023;0.02;0.031;0.033;0.01;0.036;0.013;0.035
20090;Scarole, crue;Escaroles;1;Fruits et légumes;légumes;légumes crus;1.25;0.2;0.3;0;3.1;0;93.8;0.23;0.067;52;15;28;314;22;0.83;0.79;0.099;0.42;0.6;0.048;0.004;0.088;0.004;0.075;0.013;0;0;0;0;1500;0;6.5;0.08;0.075;0.4;0.9;0.02;142;0;0.4;0;0;0.005;0.05;0.072;0.098;0.063;0.014;0.053;0.023;0.063
20097;Échalote, crue;Shallot, raw;1;Fruits et légumes;légumes;légumes crus;1.81;0.5;12.2;63.6;2.6;0;82.3;3.3;0.35;9.5;7.5;46;220;5;0.12;0.2;0.07;0.08;20;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;5;0;8;0.036;0.01;0.2;0.19;0.1;10.2;0;20;0.08;0.8;0.028;0.098;0.106;0.149;0.125;0.027;0.081;0.043;0.11
20099;Mâche, crue;Lamb's lettuce;1;Fruits et légumes;légumes;légumes crus;2;0.5;0.5;16.8;2.3;0;93.7;0;0.35;41;19;30;330;5;0.4;0.14;0.1;0.28;20;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;3280;0;2.38;0.042;0.066;0.37;0.25;0.096;45.5;0;20;0.22;48.9;0.026;0.075;0.099;0.133;0.101;0.025;0.091;0.036;0.099
20101;Melange de légumes;Mixed vegetables;1;Fruits et légumes;légumes;légumes crus;2.26;2.65;5.71;65.1;4.7;0;85.2;2.18;3.5;33;24;59;212;39;0.98;0.45;0.093;0.24;0;0.62;0.031;0.24;0.031;0.19;0.05;0;0;0;0;500;0;13.7;0.12;0.085;1.25;0.16;0.096;29;0.08;5;0;0;0.021;0.073;0.086;0.122;0.106;0.026;0.069;0.035;0.111
20103;Girolle, champignon, crue;Chanterelles, mushroom;1;Fruits et légumes;légumes;légumes crus;2.28;0.78;2.3;33.1;4.23;0;88.7;1.87;0;8.33;10;53.5;449;5;3.52;0.84;0.39;0.28;0.9;0.5;0;0;0;0;0;0;0;0;0;0;5.3;5.5;0.053;0.31;5.44;1.08;0.042;2;0;3.3;0.06;0;0.024;0.075;0.053;0.084;0.075;0.022;0.06;0.04;0.163
20105;Morille, champignon, crue;Morel;1;Fruits et légumes;légumes;légumes crus;3.16;0.54;0.1;24.5;3.35;0;89.6;0.044;0;43;19;194;411;21;1.2;2.03;0.63;0.59;0;0.16;0.029;0.24;0.022;0.22;0;0;0;0;0;0;5.1;5;0.069;0.21;2.25;0.44;0.14;9;0;0;0.05;0;0.024;0.075;0.053;0.084;0.075;0.022;0.06;0.04;0.163
20106;Truffe noire, crue;Black truffle;1;Fruits et légumes;légumes;légumes crus;5.77;0.51;0;0;8.5;0;75.9;0.7;0;24;23.8;62;447;66;3.5;3.8;0;0;0;0.11;0;0.27;0;0;0;0;0;0;0;0;0;1;0.05;0.09;2;0;0.18;44;0;0;0.12;0;0.024;0.075;0.053;0.084;0.075;0.022;0.06;0.04;0.163
