alim_ssssgrp_code;alim_grp_nom_fr;alim_ssgrp_nom_fr;alim_ssssgrp_nom_fr;alim_code;alim_nom_fr;208;255;203;205;204;269;810;291;606;645;646;617;618;619;620;629;621;601;301;312;303;3000;304;315;305;306;317;307;309;319;321;339;4000;4001;401;404;405;406;410;415;417;418
0;entrées et plats composés;soupes;-;25904;Soupe de poissons et / ou crustacés, préemballée à réchauffer;42.8;89.4;3.45;2.88;1.79;0.9;1.7;0.69;0.58;0.93;0.25;0.71;0.13;0.035;0.01;0.035;0.053;30;130;0.07;0.61;70;11;0.05;80;110;20;343;0.25;59.8;446;0.2;0.32;0.93;0.5;0.03;0.039;0.63;0.18;0.032;5;1.35
0;entrées et plats composés;soupes;-;25905;Soupe aux légumes variés, déshydratée reconstituée;34.5;90.9;0.86;4.43;1.22;1.07;2.6;1.16;0.39;0.45;0.091;0.45;0.081;0.01;0.01;0.01;0.01;2.12;21;0.03;0.19;1;7;0.05;12.5;60;20;276;0.12;21;261;0;0.19;2.42;3.28;0.05;0.24;0.13;0.12;0.044;8.4;0.029
0;entrées et plats composés;soupes;-;25907;Soupe aux poireaux et pommes de terre, préemballée à réchauffer;37.1;90.8;0.79;4.46;1.51;0.81;3.2;1.28;0.6;0.53;0.27;0.53;0.18;0.09;0.01;0.01;0.01;4.73;16;0.02;0.17;20;5.6;0.04;16;94;20;290;0.13;21;120;0;0.28;9.13;7.95;0.01;0.03;0.23;0.14;0.23;29.3;0.045
0;entrées et plats composés;soupes;-;25908;Soupe à la volaille et aux vermicelles, préemballée à réchauffer;30.8;93.8;1.3;3.86;1;0.77;0;0.56;0.49;0.29;0.18;0;0;0;0;0;0;5;7.96;0.069;0.14;0.5;7.93;0.057;17;30.5;10;326;0.1;1;119;0;0.03;0;0;0.055;0.045;0.54;0.074;0.02;2;0.02
0;entrées et plats composés;soupes;-;25909;Bouillon de viande et légumes type pot-au-feu, prêt à consommer;4.8;98.1;0.2;0.1;0.4;0;0.1;0;0.2;0.09;0.05;0;0;0;0;0;0;0;1;0;0.1;0;2;0.01;1;15;0;430;0;0;0;0;0;0;0;0.06;0.01;0;0.02;0.01;12;0.05
0;entrées et plats composés;soupes;-;25910;Soupe à l'oignon, préemballée à réchauffer;40.4;92.7;1.35;4.93;1.4;1.5;0;1.34;0.55;0;0.26;0;0;0;0;0;0;0;12;0.054;0.27;0;1;0.098;4;28;0;315;0.25;1;1;0;0.11;0.2;0.5;0.013;0.01;0.24;0;0.02;6;0
0;entrées et plats composés;soupes;-;25912;Soupe aux champignons, préemballée à réchauffer;48.2;92;0.81;4.09;3.07;0.91;0;0.52;1.58;0.4;0.96;0.4;0.31;0.01;0;0;0;3.3;7;0.016;0.09;8.4;2;0.018;12;62;0;312;0.06;5.5;0;0.1;0.24;9.6;0;0.006;0.008;0.17;0.072;0.007;1;0
0;entrées et plats composés;soupes;-;25913;Soupe à la carotte, préemballée à réchauffer;33.2;91.2;0.61;3.89;1.41;1.82;2.08;1.22;0.96;0.36;0.029;0;0;0;0;0;0;0;15;0;0.3;0;7;0;20;140;0;259;0;4;3500;0;0;0;11;0.05;0;0.65;0;0.08;9;0
0;entrées et plats composés;soupes;-;25914;Soupe à la tomate, préemballée à réchauffer;38.7;90.3;0.74;6.27;0.99;2.95;1.8;0.88;0.36;0.29;0.3;0.28;0.15;0.02;0.01;0.01;0.01;2.9;11;0.03;0.14;20;5.9;0.04;15;130;20;259;0.08;21;1680;0.6;0.69;1.01;6.4;0.01;0.056;0.58;0.2;0.2;23.8;0.01
0;entrées et plats composés;soupes;-;25915;Soupe chorba frik, à base de viande et de frik;62.9;85.1;3.75;5.4;2.5;0.9;3.9;1.9;0;0;0;0;0;0;0;0;0;11;19;0.07;0.97;2;17;0.31;54;157;1.4;337;0.84;4.4;172;0.02;0.6;0;3.2;0.03;0.04;0.96;0.18;0.07;16;0.11
